ano,clube,jogador,pos11,idade,minutos,fatia,Contrato termina,Cantos/90,Livres/90,Livres directos/90,Assistências esperadas/90,Passes para a área de penálti/90,Cruzamentos/90,"Cruzamentos certos, %",rendimento,faixa,cantos_temp,livres_temp
2022,Ponte Preta,Lucca,CA,32.0,2617,0.69191202980411,,0.14,0.52,0.45,0.06,0.89,0.69,15.0,-0.16202681237652006,Meio,4.07088888888889,15.120444444444447
2022,Sampaio Corrêa,Maurício Maranhão,LD,23.0,956,0.25441525136691345,2026-10-30,0.38,0.09,0.09,0.04,1.51,1.6,29.41,0.4733855144264345,Meio,4.036444444444445,0.956
2022,Grêmio,Guilherme,EE,27.0,1202,0.35471495640509726,2028-06-30,0.3,0.0,0.0,0.12,4.34,3.29,18.18,0.025855751827733586,Sobe,4.006666666666666,0.0
2022,Guarani,Eduardo Person,VOL,25.0,1024,0.27631546669937446,2026-11-30,0.35,0.18,0.0,0.01,1.67,0.44,20.0,0.053639264952930255,Meio,3.982222222222222,2.048
2022,Novorizontino,Paulinho,LE,37.0,1277,0.3416431559490223,,0.28,1.06,0.42,0.09,1.83,1.41,55.0,-0.13704714893867997,Meio,3.9728888888888894,15.040222222222223
2022,Cruzeiro,Jajá,EE,21.0,1323,0.35303107488537955,2028-05-31,0.27,0.0,0.0,0.15,4.83,4.15,22.95,0.5032450477868315,Sobe,3.9690000000000003,0.0
2022,Brusque,Pará,LD,36.0,1763,0.46803427054422586,,0.2,0.2,0.0,0.05,2.6,2.91,33.33,-0.15078874981208978,Cai,3.9177777777777782,3.9177777777777782
2022,Ponte Preta,Artur,LE,27.0,2840,0.7508712895084725,2027-12-31,0.1,0.1,0.06,0.06,3.3,3.04,41.67,-0.16202681237652006,Meio,3.1555555555555554,3.1555555555555554
2022,Grêmio,Rodrigo Ferreira,LD,27.0,1829,0.5397451374916163,2026-11-30,0.15,0.15,0.0,0.03,1.82,2.36,29.17,0.025855751827733586,Sobe,3.048333333333333,3.048333333333333
2022,Guarani,Bruno José,ED,24.0,2469,0.6662332883601129,2026-11-30,0.11,0.04,0.04,0.1,3.79,3.65,31.0,0.053639264952930255,Meio,3.0176666666666665,1.0973333333333335
2022,Náutico,Júnior Tavares,LE,26.0,1086,0.2876059322033898,,0.25,0.41,0.17,0.04,3.48,3.56,34.88,-0.5603728775246417,Cai,3.0166666666666666,4.947333333333333
2022,Tombense,Everton Galdino,ED,25.0,2779,0.7444958597174867,2027-06-30,0.07,0.03,0.03,0.05,1.14,0.77,26.09,0.17052437043767044,Meio,2.1614444444444447,0.9263333333333332
2022,Chapecoense,Ronei,LD,24.0,2347,0.6300824913359692,,0.08,0.0,0.0,0.03,2.38,1.99,44.23,-0.16469053487358654,Meio,2.086222222222222,0.0
2022,Operário-PR,Silvinho,EE,32.0,1161,0.3147039254823686,,0.16,0.16,0.0,0.14,3.41,2.17,17.86,-0.39133416123100295,Cai,2.064,2.064
2022,Brusque,Diego Jardel,MEI,32.0,960,0.2548570049475081,2026-09-30,0.19,0.19,0.0,0.05,1.97,0.94,20.0,-0.15078874981208978,Cai,2.026666666666667,2.026666666666667
2022,Guarani,Leandro Vilela,VOL,27.0,2276,0.6141542990310315,2026-11-30,0.08,0.0,0.0,0.01,0.95,0.36,44.44,0.053639264952930255,Meio,2.023111111111111,0.0
2022,Bahia,Matheus Bahia,LE,22.0,1212,0.3266846361185984,2027-12-31,0.15,0.0,0.0,0.07,3.12,3.12,33.33,0.16512566879886736,Sobe,2.02,0.0
2022,Brusque,Álvaro,MEI,29.0,1394,0.3700736092675274,,0.13,0.0,0.0,0.08,2.2,1.42,22.73,-0.15078874981208978,Cai,2.0135555555555555,0.0
2022,Tombense,Diego Ferreira,LD,26.0,1006,0.2695080370189966,2027-06-30,0.18,0.0,0.0,0.11,1.52,2.77,19.35,0.17052437043767044,Meio,2.012,0.0
2022,CRB,Richard Rodrigues,EE,22.0,1388,0.3708165347063681,2026-09-15,0.13,0.06,0.06,0.07,1.69,1.69,26.92,-0.06933256682494893,Meio,2.004888888888889,0.9253333333333333
2022,Ponte Preta,Fraga,VOL,25.0,1002,0.264920081720947,,0.18,0.0,0.0,0.02,0.72,0.27,33.33,-0.16202681237652006,Meio,2.004,0.0
2022,Brusque,Jaílson,ED,29.0,1122,0.29786412453240013,,0.16,0.0,0.0,0.07,2.97,3.61,20.0,-0.15078874981208978,Cai,1.9946666666666668,0.0
2022,Criciúma,Claudinho,LD,21.0,1280,0.33531793284115263,2027-12-31,0.14,0.28,0.0,0.15,2.6,2.6,32.43,0.3122380378239036,Meio,1.9911111111111113,3.9822222222222226
2022,Ituano,Dudu Vieira,MED,28.0,941,0.24957203134418324,2027-05-30,0.19,0.0,0.0,0.02,1.24,1.24,23.08,0.3504136826485551,Meio,1.9865555555555554,0.0
2022,Grêmio,M. Villasanti,VOL,25.0,2959,0.8732126089872569,2029-12-31,0.06,0.0,0.0,0.06,1.19,0.36,58.33,0.025855751827733586,Sobe,1.9726666666666666,0.0
2022,Guarani,Lucas Ramon,LD,28.0,1267,0.34188642217588616,2027-12-31,0.14,0.0,0.0,0.1,3.2,3.27,47.83,0.053639264952930255,Meio,1.9708888888888891,0.0
2022,Vila Nova,Sousa,MED,27.0,1252,0.3250182899487882,,0.14,0.07,0.07,0.0,1.08,0.43,0.0,0.0046557676533542924,Meio,1.947555555555556,0.973777777777778
2022,CRB,Reginaldo,LD,29.0,1947,0.5201583523582843,2026-11-30,0.09,0.0,0.0,0.08,2.45,3.33,33.33,-0.06933256682494893,Meio,1.9469999999999998,0.0
2022,Operário-PR,Lucas Mendes,LD,31.0,1095,0.296813779847712,,0.16,0.08,0.0,0.02,2.22,3.04,21.62,-0.39133416123100295,Cai,1.9466666666666668,0.9733333333333334
2022,Sport,Bruno Matias,MED,23.0,1247,0.3325736452903382,2026-12-31,0.14,0.0,0.0,0.03,0.94,0.29,0.0,0.10876017669562454,Meio,1.9397777777777778,0.0
2022,Operário-PR,Ricardinho,MED,33.0,2453,0.6649170794214041,2026-12-31,0.04,0.0,0.0,0.02,0.51,0.22,33.33,-0.39133416123100295,Cai,1.0902222222222222,0.0
2022,Náutico,Jobson,MED,26.0,1191,0.3154131355932203,,0.08,0.08,0.08,0.01,1.51,0.15,50.0,-0.5603728775246417,Cai,1.0586666666666666,1.0586666666666666
2022,Vasco,Marlon Gomes,ED,18.0,1038,0.27445136168064804,2028-12-31,0.09,0.0,0.0,0.08,2.17,1.3,46.67,0.0703163200791106,Sobe,1.038,0.0
2022,Cruzeiro,Edu,CA,29.0,2278,0.6078645416393761,,0.04,0.04,0.04,0.1,2.01,1.07,33.33,0.5032450477868315,Sobe,1.0124444444444445,1.0124444444444445
2022,Vila Nova,Kaio Nunes,EE,26.0,908,0.23571613999480803,,0.1,0.0,0.0,0.05,1.78,1.69,11.76,0.0046557676533542924,Meio,1.008888888888889,0.0
