treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
Claudinei Oliveira,Chapecoense,Chapecoense,17776,2023,0,0,2023-08-10,2024-02-11,17,22,38,38,24,1.08,0
Umberto Louzer,Chapecoense,Chapecoense,17776,2024,0,0,2024-02-16,2024-08-04,17,1,18,37,20,1.05,0
Ricardo Chuva,Chapecoense,Chapecoense,17776,2024,1,0,2024-05-31,2024-06-03,1,8,8,37,1,1.00,0
Celso Rodrigues,Chapecoense,Chapecoense,17776,2024,1,0,2024-08-04,2024-08-06,1,19,19,37,1,0.00,0
Tcheco,Chapecoense,Chapecoense,17776,2024,0,0,2024-08-07,2024-08-18,2,20,21,37,2,0.00,0
Celso Rodrigues,Chapecoense,Chapecoense,17776,2024,1,0,2024-08-20,2024-08-22,1,22,22,37,1,1.00,0
Gilmar Dal Pozzo,Chapecoense,Chapecoense,17776,2024,0,0,2024-08-20,2026-04-03,15,23,37,37,89,1.58,0
Gilmar Dal Pozzo,Chapecoense,Chapecoense,17776,2025,0,0,2024-08-20,2026-04-03,38,1,38,38,89,1.58,0
Paulo Bonamigo,Clube do Remo,Remo,10997,2021,0,0,2020-09-24,2021-06-30,6,1,6,38,48,1.71,0
João Nasser,Clube do Remo,Remo,10997,2021,1,0,2021-06-30,2021-07-06,2,7,8,38,1,0.00,0
Felipe Conceição,Clube do Remo,Remo,10997,2021,0,0,2021-07-07,2021-11-10,27,9,35,38,27,1.26,0
Eduardo Baptista,Clube do Remo,Remo,10997,2021,0,0,2021-11-12,2021-12-14,3,36,38,38,8,1.63,0
Daniel Paulista,Clube do Remo,Remo,10997,2025,0,0,2025-03-21,2025-06-06,10,1,10,38,14,1.93,0
Flávio Garcia,Clube do Remo,Remo,10997,2025,1,0,2025-06-06,2025-06-15,2,11,12,38,2,1.50,0
António Oliveira,Clube do Remo,Remo,10997,2025,0,0,2025-06-20,2025-09-21,15,13,27,38,14,1.29,0
Flávio Garcia,Clube do Remo,Remo,10997,2025,1,0,2025-09-22,2025-09-25,1,28,28,38,1,0.00,0
Guto Ferreira,Clube do Remo,Remo,10997,2025,0,0,2025-09-24,2025-12-17,10,29,38,38,10,2.30,0
Tcheco,Coritiba FC,Coritiba,776,2018,1,0,2018-04-15,2018-04-18,2,1,2,38,1,3.00,0
Eduardo Baptista,Coritiba FC,Coritiba,776,2018,0,0,2018-04-16,2018-08-11,18,3,20,38,18,1.44,0
Tcheco,Coritiba FC,Coritiba,776,2018,0,0,2018-08-12,2018-09-17,7,21,27,38,7,1.00,0
Argel Fuchs,Coritiba FC,Coritiba,776,2018,0,0,2018-09-17,2019-02-15,11,28,38,38,18,1.44,0
Umberto Louzer,Coritiba FC,Coritiba,776,2019,0,0,2019-02-25,2019-09-23,23,1,23,38,30,1.57,0
Jorginho,Coritiba FC,Coritiba,776,2019,0,0,2019-09-25,2019-12-31,15,24,38,38,15,2.13,0
Gustavo Morínigo,Coritiba FC,Coritiba,776,2021,0,0,2021-01-15,2022-08-15,38,1,38,38,105,1.53,0
Guto Ferreira,Coritiba FC,Coritiba,776,2024,0,0,2023-11-27,2024-05-04,3,1,3,38,22,1.50,0
