chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
s benitez,wanderers,S. Benítez,Wanderers,Uruguai,ZD,Zaga,Motor de volume,28.15,28.15,7.38,48.11,0.89,9985.03,6.2,True
rodrigo sam,,Rodrigo Sam,Juventude,Série B,ZD,Zaga,Explosivo e rápido,29.11,29.11,8.52,48.5,1.5,9481.14,16.88,False
m castro,sporting cristal,M. Castro,Sporting Cristal,Peru,EE,Extremo,Explosivo e rápido,30.56,30.56,17.07,88.11,3.17,10164.29,36.3,True
s laquidain,liverpool,S. Laquidaín,Liverpool,Uruguai,ZE,Zaga,Baixa intensidade,28.02,28.02,4.38,33.63,0.33,8984.88,6.9,False
e aguero,torque,E. Agüero,Torque,Uruguai,LD,Lateral,Médio em tudo,28.66,28.66,10.61,60.34,1.54,10221.69,14.9,False
k jappert,barracas central,K. Jappert,Barracas Central,Argentina A,ZD,Zaga,Motor de volume,28.71,28.71,6.43,41.56,0.9,9268.83,9.2,True
a rodas,fc cajamarca,A. Rodas,FC Cajamarca,Peru,ZD,Zaga,Baixa intensidade,28.98,28.98,5.14,34.67,1.22,8042.4,3.5,False
h magallanes,everton,H. Magallanes,Everton,Chile,ZD,Zaga,Baixa intensidade,29.06,29.06,4.69,33.04,0.81,8523.67,3.5,False
s postel,deportivo cuenca,S. Postel,Deportivo Cuenca,Equador A,ZE,Zaga,Baixa intensidade,27.19,27.19,3.48,28.18,0.3,8435.96,4.6,False
w fernandez,alianza,W. Fernández,Alianza,Colombia A,MED,Meia,Médio em tudo,27.18,27.18,7.05,56.12,0.85,10345.67,31.5,True
p boolsen,deportivo cuenca,P. Boolsen,Deportivo Cuenca,Equador A,ZD,Zaga,Baixa intensidade,27.7,27.7,3.55,27.46,0.82,8568.57,4.0,False
m bolanos,guayaquil city,M. Bolaños,Guayaquil City,Equador A,ED,Extremo,Baixa intensidade,28.23,28.23,7.6,50.66,1.07,8737.65,41.8,False
f viafara,deportivo cali,F. Viáfara,Deportivo Cali,Colombia A,LD,Lateral,Explosivo e rápido,30.06,30.06,11.69,62.61,2.91,8767.38,21.9,True
dani borges,uniao de leiria,Dani Borges,União de Leiria,Portugal B,VOL,Volante,Mais intenso,27.42,27.42,5.87,52.83,0.25,10884.33,,True
m orozco,deportivo cali,M. Orozco,Deportivo Cali,Colombia A,MED,Meia,Médio em tudo,28.69,28.69,7.68,52.41,0.99,9815.42,23.4,True
a deneumostier,melgar,A. Deneumostier,Melgar,Peru,ZD,Zaga,Baixa intensidade,28.34,28.34,3.96,28.75,0.66,8285.81,5.8,False
d rodriguez,jaguares de cordoba,D. Rodríguez,Jaguares de Córdoba,Colombia A,ED,Extremo,Baixa intensidade,28.87,28.87,11.87,67.32,1.44,9197.45,33.5,False
m perez guedes,universitario,M. Pérez Guedes,Universitario,Peru,MED,Meia,Médio em tudo,26.91,26.91,6.39,52.68,0.1,10366.04,53.7,True
l estupinan,tecnico universitario,L. Estupiñán,Técnico Universitario,Equador A,EE,Extremo,Baixa intensidade,29.03,29.03,8.72,56.29,1.89,9386.7,30.6,False
a madrid,colo colo,Á. Madrid,Colo Colo,Chile,MEI,Meia,Médio em tudo,26.46,26.46,5.2,51.65,0.52,10572.53,30.5,True
c sarabia,millonarios,C. Sarabia,Millonarios,Colombia A,LD,Lateral,Explosivo e rápido,30.33,30.33,14.78,77.16,2.84,9415.22,30.1,True
hildeberto pereira,,Hildeberto Pereira,Operário-PR,Série B,ED,Extremo,Explosivo e rápido,30.16,30.16,14.49,74.75,3.22,9256.37,35.16,True
f labandeira,wanderers,F. Labandeira,Wanderers,Uruguai,CA,Atacante,Motor de volume,28.68,28.68,12.24,78.74,2.04,10653.94,62.9,True
g cotugno,racing,G. Cotugno,Racing,Uruguai,LD,Lateral,Baixa intensidade,27.38,27.38,3.97,34.84,1.32,9136.95,5.8,False
s ascacibar,boca juniors,S. Ascacíbar,Boca Juniors,Argentina A,MED,Meia,Médio em tudo,26.6,26.6,7.13,59.58,0.17,11039.99,30.8,True
rodrigo,al rayyan,Rodrigo,Al Rayyan,Catar,ED,Extremo,Explosivo e rápido,29.98,29.98,17.27,93.75,3.24,9594.0,,True
d rodriguez,cerro porteno,D. Rodríguez,Cerro Porteño,Paraguai,EE,Extremo,Baixa intensidade,28.02,28.02,9.5,64.59,0.94,9339.74,29.1,False
anselmo ramon,,Anselmo Ramon,Goiás,Série B,CA,Atacante,Baixa intensidade,27.07,27.07,4.71,38.02,1.21,8674.33,21.36,False
cesar castro,de mayo,César Castro,2 de Mayo,Paraguai,LE,Lateral,Explosivo e rápido,29.86,29.86,11.25,65.69,1.63,9482.33,26.7,True
j quintero,ldu quito,J. Quintero,LDU Quito,Equador A,LD,Lateral,Baixa intensidade,28.81,28.81,9.56,55.63,1.53,9264.64,24.1,False
j angulo,tolima,J. Angulo,Tolima,Colombia A,ZD,Zaga,Explosivo e rápido,30.34,30.34,6.91,38.7,1.75,8143.45,4.7,False
l colitto,cusco,L. Colitto,Cusco,Peru,ED,Extremo,Baixa intensidade,28.05,28.05,9.01,60.27,1.18,9547.13,28.9,False
n oroz,argentinos juniors,N. Oroz,Argentinos Juniors,Argentina A,MED,Meia,Baixa intensidade,26.33,26.33,4.3,44.19,0.34,10904.56,23.4,False
f mateos,audax italiano,F. Mateos,Audax Italiano,Chile,MED,Meia,Baixa intensidade,26.86,26.86,5.78,48.86,0.88,10170.59,23.1,False
l zelarayan,belgrano,L. Zelarayán,Belgrano,Argentina A,MEI,Meia,Baixa intensidade,26.97,26.97,4.51,41.8,0.53,8822.37,44.1,False
l vargas,union santa fe,L. Vargas,Unión Santa Fe,Argentina A,LD,Lateral,Baixa intensidade,29.18,29.18,9.94,57.24,0.89,9157.14,22.3,False
jobson,al dhafra,Jobson,Al Dhafra,Emirados,MED,Meia,Médio em tudo,28.0,28.0,8.48,56.92,0.78,9790.07,,True
b rovira,tolima,B. Rovira,Tolima,Colombia A,ZE,Zaga,Motor de volume,27.73,27.73,4.85,38.2,0.31,8825.49,10.7,True
j narvaez,adt,J. Narváez,ADT,Peru,ZD,Zaga,Baixa intensidade,28.21,28.21,5.59,34.67,0.95,7740.9,3.4,False
e mejia,universidad catolica,E. Mejía,Universidad Católica,Equador A,EE,Extremo,Motor de volume,29.26,29.26,11.03,70.15,1.44,10004.57,30.9,False
j herrera,comerciantes unidos,J. Herrera,Comerciantes Unidos,Peru,ED,Extremo,Baixa intensidade,29.93,29.93,13.04,73.59,2.08,8954.81,30.9,False
kauan,,Kauan,Athletic,Série B,MED,Meia,Médio em tudo,28.01,28.01,7.79,56.58,0.73,10622.59,31.38,True
mansur,atromitos,Mansur,Atromitos,Grecia,LE,Lateral,Baixa intensidade,28.18,28.18,6.24,42.66,1.01,9292.46,,False
d benedetto,barcelona,D. Benedetto,Barcelona,Equador A,CA,Atacante,Baixa intensidade,28.13,28.13,4.76,38.97,0.58,7918.22,34.5,False
francisco salinas,coquimbo unido,Francisco Salinas,Coquimbo Unido,Chile,LD,Lateral,Médio em tudo,29.26,29.26,10.65,63.85,0.91,9847.97,24.4,False
d zuniga,palestino,D. Zúñiga,Palestino,Chile,LE,Lateral,Baixa intensidade,28.53,28.53,8.24,53.67,0.89,9299.76,15.6,False
i montano,fortaleza,Í. Montano,Fortaleza,Colombia A,ED,Extremo,Baixa intensidade,27.52,27.52,7.24,48.3,1.5,9063.41,29.6,False
g kagelmacher,torque,G. Kagelmacher,Torque,Uruguai,ZE,Zaga,Baixa intensidade,27.4,27.4,2.79,24.87,0.75,8718.16,4.2,False
l miranda,llaneros,L. Miranda,Llaneros,Colombia A,MED,Meia,Médio em tudo,28.33,28.33,7.33,49.42,0.55,9256.42,34.6,True
jose fajardo,universidad catolica,José Fajardo,Universidad Católica,Equador A,CA,Atacante,Explosivo e rápido,30.21,30.21,15.01,77.69,2.23,9025.58,34.3,False
e mas,juventud,E. Más,Juventud,Uruguai,ZE,Zaga,Motor de volume,27.86,27.86,8.96,53.92,0.44,9413.82,12.3,True
omar fernandez,santa fe,Omar Fernández,Santa Fe,Colombia A,EE,Extremo,Explosivo e rápido,29.78,29.78,15.43,80.57,2.71,9644.86,43.0,True
l benites,atletico grau,L. Benites,Atlético Grau,Peru,ED,Extremo,Baixa intensidade,27.24,27.24,4.87,41.62,0.66,9587.76,38.6,False
m martinich,cienciano,M. Martinich,Cienciano,Peru,LE,Lateral,Baixa intensidade,28.53,28.53,9.27,55.61,1.27,8682.38,23.3,False
a jara,concepcion,A. Jara,Concepción,Chile,ED,Extremo,Explosivo e rápido,30.08,30.08,16.18,84.72,3.47,9693.09,41.3,True
j soto,adt,J. Soto,ADT,Peru,ZE,Zaga,Baixa intensidade,28.34,28.34,5.03,33.68,1.11,8633.29,4.9,False
gabriel feliciano,,Gabriel Feliciano,Operário-PR,Série B,LE,Lateral,Baixa intensidade,30.01,30.01,10.29,58.88,1.63,8870.7,19.28,False
roger guedes,al rayyan,Róger Guedes,Al Rayyan,Catar,MEI,Meia,Explosivo e rápido,29.9,29.9,10.98,58.93,1.99,8876.13,,False
i franco,club libertad,I. Franco,Club Libertad,Paraguai,ED,Extremo,Baixa intensidade,29.1,29.1,13.15,73.38,3.13,10187.58,23.3,False
f carabali,mushuc runa,F. Carabalí,Mushuc Runa,Equador A,ZD,Zaga,Motor de volume,27.82,27.82,6.86,41.73,1.0,8546.03,5.0,True
calebe costa,,Calebe Costa,Cuiabá,Série B,ZD,Zaga,Motor de volume,27.64,27.64,6.99,50.7,0.58,10459.64,30.93,True
j vallejos,rubio nu,J. Vallejos,Rubio Ñú,Paraguai,ZE,Zaga,Baixa intensidade,28.08,28.08,4.24,28.76,0.61,8741.6,4.0,False
d diaz,guayaquil city,D. Díaz,Guayaquil City,Equador A,MEI,Meia,Baixa intensidade,25.87,25.87,4.34,37.5,0.66,8996.58,30.3,False
e salcedo,ofi,E. Salcedo,OFI,Grecia,CA,Atacante,Baixa intensidade,27.41,27.41,8.42,59.5,1.14,9166.55,,False
sebastian zaracho,guarani,Sebastián Zaracho,Guaraní,Paraguai,ZE,Zaga,Baixa intensidade,27.59,27.59,2.85,25.32,0.33,8487.25,6.0,False
t nuss,ofi,T. Nuss,OFI,Grecia,EE,Extremo,Explosivo e rápido,29.48,29.48,15.81,85.53,1.62,9707.61,37.4,True
leo azevedo,torreense,Léo Azevedo,Torreense,Portugal B,VOL,Volante,Intermediário,28.01,28.01,6.25,52.07,0.68,9591.6,,True
c pimienta,los chankas,C. Pimienta,Los Chankas,Peru,ZD,Zaga,Baixa intensidade,28.34,28.34,4.41,30.15,0.63,8262.21,5.5,False
a gutierrez,atletico bucaramanga,A. Gutiérrez,Atlético Bucaramanga,Colombia A,LD,Lateral,Baixa intensidade,27.27,27.27,7.56,51.67,0.48,8920.17,25.3,False
jeyson rojas,colo colo,Jeyson Rojas,Colo Colo,Chile,LD,Lateral,Explosivo e rápido,29.74,29.74,11.22,63.37,2.35,9542.06,19.4,True
h lopes,cucuta deportivo,H. Lópes,Cúcuta Deportivo,Colombia A,ZD,Zaga,Baixa intensidade,28.19,28.19,3.71,27.18,0.89,8347.18,2.9,False
m rabunal,defensor sporting,M. Rabuñal,Defensor Sporting,Uruguai,VOL,Volante,Menos intenso,25.98,25.98,3.72,45.58,0.25,10286.18,14.7,False
lucas possignolo,zhejiang professional,Lucas Possignolo,Zhejiang Professional,China,ZE,Zaga,Baixa intensidade,28.68,28.68,3.58,26.02,0.48,7836.85,,False
j brea,cobresal,J. Brea,Cobresal,Chile,CA,Atacante,Explosivo e rápido,31.31,31.31,13.37,70.29,1.88,9165.41,51.1,False
larry vasquez,inter bogota,Larry Vásquez,Inter Bogotá,Colombia A,VOL,Volante,Intermediário,27.73,27.73,4.95,42.36,0.74,10022.65,20.6,True
p serra,utc cajamarca,P. Serra,UTC Cajamarca,Peru,ZD,Zaga,Baixa intensidade,29.86,29.86,5.21,32.79,1.74,7800.68,3.9,False
gabriel lacerda,,Gabriel Lacerda,Londrina,Série B,ZE,Zaga,Motor de volume,28.45,28.45,6.25,40.1,0.49,9089.57,8.44,True
i vazquez,platense,I. Vázquez,Platense,Argentina A,ZD,Zaga,Baixa intensidade,27.42,27.42,4.4,33.46,0.25,8206.29,4.5,False
f franco,sportivo ameliano,F. Franco,Sportivo Ameliano,Paraguai,LD,Lateral,Baixa intensidade,28.92,28.92,8.67,53.99,1.49,8833.99,16.0,False
k silva,torque,K. Silva,Torque,Uruguai,ZD,Zaga,Baixa intensidade,29.15,29.15,4.94,35.8,0.88,8869.73,0.9,False
g rojas,racing club,G. Rojas,Racing Club,Argentina A,LE,Lateral,Baixa intensidade,28.81,28.81,8.49,50.2,1.31,9244.56,24.3,False
l correa,cerro largo,L. Correa,Cerro Largo,Uruguai,ZD,Zaga,Baixa intensidade,27.36,27.36,4.43,36.08,0.6,9065.46,6.4,False
j troya,manta,J. Troya,Manta,Equador A,LD,Lateral,Médio em tudo,27.9,27.9,8.14,58.37,1.4,9886.45,22.0,False
p franco,alianza,P. Franco,Alianza,Colombia A,ZE,Zaga,Baixa intensidade,28.09,28.09,3.73,30.56,0.67,8614.34,11.2,False
a bedoya,delfin,A. Bedoya,Delfin,Equador A,ZD,Zaga,Baixa intensidade,29.22,29.22,6.04,37.29,0.85,8243.06,2.1,False
lithierry,ajman,Lithierry,Ajman,Emirados,CA,Atacante,Baixa intensidade,28.61,28.61,7.41,45.82,1.27,8789.28,,False
a amado,boston river,A. Amado,Boston River,Uruguai,MED,Meia,Baixa intensidade,26.58,26.58,4.42,44.16,0.32,10224.31,19.6,False
y cabrera,boyaca chico,Y. Cabrera,Boyacá Chicó,Colombia A,MED,Meia,Baixa intensidade,26.2,26.2,3.97,39.32,1.24,9384.48,46.2,False
f munoa,boston river,F. Muñoa,Boston River,Uruguai,MEI,Meia,Explosivo e rápido,27.43,27.43,8.72,59.22,1.01,10358.06,46.1,False
j marrufo,macara,J. Marrufo,Macará,Equador A,ZE,Zaga,Baixa intensidade,29.14,29.14,3.85,29.09,0.58,8129.3,4.6,False
pierre,,Pierre,Fortaleza,Série B,VOL,Volante,Menos intenso,27.43,27.43,4.92,47.3,0.32,10716.69,30.05,False
g anangono,universidad catolica,G. Anangonó,Universidad Católica,Equador A,LD,Lateral,Baixa intensidade,30.69,30.69,9.78,57.25,2.09,8601.61,12.6,False
g allala,ldu quito,G. Allala,LDU Quito,Equador A,ZD,Zaga,Motor de volume,28.03,28.03,5.65,38.58,0.89,8941.99,9.6,True
j cuesta,once caldas,J. Cuesta,Once Caldas,Colombia A,LD,Lateral,Explosivo e rápido,29.63,29.63,13.8,73.41,2.82,9016.0,31.7,True
c diaz,union la calera,C. Diaz,Unión La Calera,Chile,LD,Lateral,Médio em tudo,29.07,29.07,11.05,64.92,1.34,9863.6,21.6,False
m ortiz,manta,M. Ortíz,Manta,Equador A,ZE,Zaga,Baixa intensidade,27.73,27.73,4.0,33.88,0.89,8544.75,12.3,False
a parot,deportes limache,A. Parot,Deportes Limache,Chile,ZE,Zaga,Baixa intensidade,29.02,29.02,5.6,35.82,1.13,8585.65,3.3,False
p rios,deportivo recoleta,P. Ríos,Deportivo Recoleta,Paraguai,LE,Lateral,Médio em tudo,28.52,28.52,9.25,58.04,1.82,9991.37,19.1,False
f silvera,torque,F. Silvera,Torque,Uruguai,LE,Lateral,Médio em tudo,28.6,28.6,8.68,56.65,1.56,9939.8,16.7,False
c munder,palestino,C. Munder,Palestino,Chile,EE,Extremo,Baixa intensidade,28.99,28.99,12.78,75.01,2.23,9348.37,27.3,False
m barrios,once caldas,M. Barrios,Once Caldas,Colombia A,ED,Extremo,Baixa intensidade,30.47,30.47,11.85,62.12,1.67,8317.42,17.3,False
e perleche,alianza atletico,E. Perleche,Alianza Atlético,Peru,LD,Lateral,Baixa intensidade,29.48,29.48,10.72,61.01,1.75,9093.47,26.1,False
l roldan,juventud,L. Roldán,Juventud,Uruguai,VOL,Volante,Mais intenso,26.67,26.67,6.67,57.13,0.25,10611.86,30.8,True
j espinoza,independiente del valle,J. Espinoza,Independiente del Valle,Equador A,LD,Lateral,Baixa intensidade,29.3,29.3,6.62,41.6,2.4,8806.09,18.1,False
n gimenez,club libertad,N. Giménez,Club Libertad,Paraguai,LE,Lateral,Médio em tudo,28.72,28.72,9.37,59.21,1.15,9880.95,21.4,False
hygor,,Hygor,Botafogo-SP,Série B,CA,Atacante,Explosivo e rápido,29.78,29.78,18.12,94.54,3.41,9269.07,35.98,False
g bogado,sportivo luqueno,G. Bogado,Sportivo Luqueño,Paraguai,MED,Meia,Baixa intensidade,27.04,27.04,4.75,41.16,0.56,9353.62,23.2,False
l castro,millonarios,L. Castro,Millonarios,Colombia A,CA,Atacante,Explosivo e rápido,29.91,29.91,10.28,57.14,2.04,8388.93,37.8,False
n meriano,banfield,N. Meriano,Banfield,Argentina A,ZE,Zaga,Motor de volume,28.64,28.64,5.49,36.65,1.24,8892.87,5.0,True
renato ibarra,mushuc runa,Renato Ibarra,Mushuc Runa,Equador A,CA,Atacante,Baixa intensidade,28.36,28.36,4.98,36.2,1.87,8204.38,26.6,False
p riveros,sportivo luqueno,P. Riveros,Sportivo Luqueño,Paraguai,ZE,Zaga,Baixa intensidade,27.32,27.32,3.3,25.88,0.9,8230.25,2.2,False
k agudelo,al nasr,K. Agudelo,Al Nasr,Emirados,ED,Extremo,Baixa intensidade,28.87,28.87,10.52,62.3,2.59,9038.25,,False
m ferreira,danubio,M. Ferreira,Danubio,Uruguai,ED,Extremo,Motor de volume,26.76,26.76,7.89,63.14,0.79,10644.22,37.5,False
gui meira,feirense,Gui Meira,Feirense,Portugal B,EE,Extremo,Motor de volume,27.82,27.82,11.38,73.1,0.62,10204.8,,False
c barrios,junior,C. Barrios,Junior,Colombia A,ED,Extremo,Motor de volume,29.35,29.35,13.07,71.56,1.72,9385.22,35.6,False
m ferreira,racing,M. Ferreira,Racing,Uruguai,LE,Lateral,Explosivo e rápido,29.76,29.76,11.12,67.63,1.51,9865.72,19.9,True
f pedrozo,levadiakos,F. Pedrozo,Levadiakos,Grecia,CA,Atacante,Motor de volume,28.11,28.11,11.05,70.65,1.53,9925.53,,True
j luna,wanderers,J. Luna,Wanderers,Uruguai,CA,Atacante,Explosivo e rápido,29.42,29.42,13.12,74.42,1.58,9364.32,31.7,False
m tavara,sporting cristal,M. Távara,Sporting Cristal,Peru,VOL,Volante,Menos intenso,26.46,26.46,2.71,26.63,0.35,9056.59,16.6,False
h menosse,deportivo maldonado,H. Menosse,Deportivo Maldonado,Uruguai,ZD,Zaga,Baixa intensidade,26.9,26.9,3.4,30.53,0.0,8616.86,2.1,False
i marcone,independiente,I. Marcone,Independiente,Argentina A,VOL,Volante,Menos intenso,25.83,25.83,2.67,29.77,0.22,9186.71,10.7,False
j elordi,independiente rivadavia,J. Elordi,Independiente Rivadavia,Argentina A,LE,Lateral,Médio em tudo,28.0,28.0,10.73,69.36,1.18,9914.66,37.6,False
j tiznado,cobresal,J. Tiznado,Cobresal,Chile,ZD,Zaga,Motor de volume,27.67,27.67,4.83,39.84,0.46,9204.52,7.4,True
y mosquera,jaguares de cordoba,Y. Mosquera,Jaguares de Córdoba,Colombia A,ZD,Zaga,Baixa intensidade,28.61,28.61,5.15,32.2,0.79,8197.45,4.2,False
a ampuero,cusco,Á. Ampuero,Cusco,Peru,ZE,Zaga,Baixa intensidade,27.15,27.15,3.5,30.25,0.28,7983.29,9.4,False
s pino,cobresal,S. Pino,Cobresal,Chile,CA,Atacante,Baixa intensidade,27.52,27.52,4.98,41.11,0.55,8721.09,30.9,False
j pineda,aguilas doradas,J. Pineda,Águilas Doradas,Colombia A,MED,Meia,Baixa intensidade,26.98,26.98,5.46,46.48,0.86,9642.24,20.2,False
e burdin,albion,E. Burdín,Albion,Uruguai,ZE,Zaga,Motor de volume,28.31,28.31,5.12,35.56,0.84,9044.44,7.7,True
d reasco,independiente del valle,D. Reasco,Independiente del Valle,Equador A,CA,Atacante,Baixa intensidade,27.8,27.8,6.07,46.68,1.4,8662.93,22.3,False
e ferigra,larissa,E. Ferigra,Larissa,Grecia,ZE,Zaga,Motor de volume,28.43,28.43,6.08,41.48,0.63,9167.74,,True
benjamin gazzolo,coquimbo unido,Benjamín Gazzolo,Coquimbo Unido,Chile,ZD,Zaga,Motor de volume,29.0,29.0,5.79,38.41,0.79,8885.99,5.6,True
i guerrico,emelec,I. Guerrico,Emelec,Equador A,LE,Lateral,Baixa intensidade,28.43,28.43,9.07,54.78,1.64,9409.72,19.1,False
r brazionis,racing,R. Brazionis,Racing,Uruguai,ZD,Zaga,Baixa intensidade,28.73,28.73,5.64,36.22,0.9,8512.39,4.3,False
g togni,penarol,G. Togni,Peñarol,Uruguai,EE,Extremo,Motor de volume,28.09,28.09,11.87,79.47,1.5,10600.0,31.7,False
w mendieta,rubio nu,W. Mendieta,Rubio Ñú,Paraguai,CA,Atacante,Baixa intensidade,26.77,26.77,4.05,39.63,0.49,9888.59,33.3,False
victor andrade,,Victor Andrade,Náutico,Série B,EE,Extremo,Baixa intensidade,28.24,28.24,8.68,58.68,1.49,8764.24,23.74,False
l pavez,o higgins,L. Pavez,O'Higgins,Chile,LE,Lateral,Médio em tudo,29.01,29.01,10.42,60.17,1.92,9636.48,27.0,False
l boggio,nacional,L. Boggio,Nacional,Uruguai,VOL,Volante,Menos intenso,26.35,26.35,5.87,54.2,0.5,10439.5,30.2,False
gustavo coutinho,,Gustavo Coutinho,Atlético-GO,Série B,CA,Atacante,Explosivo e rápido,29.66,29.66,14.45,76.58,1.81,9669.66,31.75,False
s studer,independiente rivadavia,S. Studer,Independiente Rivadavia,Argentina A,ZE,Zaga,Motor de volume,28.49,28.49,5.41,37.49,0.79,8900.12,5.7,True
r delgado,la serena,R. Delgado,La Serena,Chile,ZE,Zaga,Baixa intensidade,26.98,26.98,4.17,33.86,0.28,8489.15,8.7,False
yago,,Yago,América-MG,Série B,MED,Meia,Explosivo e rápido,28.41,28.41,7.99,56.31,1.1,10608.07,34.35,False
joao pedro,qatar sc,João Pedro,Qatar SC,Catar,CA,Atacante,Baixa intensidade,29.19,29.19,7.01,47.6,2.14,8426.08,,False
a barbotte,guarani,A. Barbotte,Guaraní,Paraguai,LE,Lateral,Baixa intensidade,27.46,27.46,7.03,50.18,0.9,9690.46,15.4,False
j quinones,once caldas,J. Quiñónes,Once Caldas,Colombia A,MED,Meia,Baixa intensidade,26.11,26.11,3.68,40.4,0.37,9010.09,23.9,False
l godoy,atletico tucuman,L. Godoy,Atlético Tucumán,Argentina A,MED,Meia,Médio em tudo,27.37,27.37,6.96,57.46,0.36,10979.15,37.8,True
m rodriguez,union santa fe,M. Rodríguez,Unión Santa Fe,Argentina A,ZD,Zaga,Baixa intensidade,28.04,28.04,3.67,29.76,0.58,8401.5,3.0,False
m nani,al sailiya,M. Nani,Al Sailiya,Catar,ZE,Zaga,Motor de volume,28.99,28.99,6.25,37.44,0.67,8758.6,,True
f alvarez,deportivo cali,F. Álvarez,Deportivo Cali,Colombia A,ZE,Zaga,Baixa intensidade,28.76,28.76,5.04,32.86,0.45,8399.93,6.6,False
w nunez,newell s old boys,W. Nunez,Newell's Old Boys,Argentina A,EE,Extremo,Motor de volume,28.67,28.67,14.93,80.69,1.43,10306.54,28.9,False
m huaman,alianza lima,M. Huamán,Alianza Lima,Peru,LE,Lateral,Explosivo e rápido,29.31,29.31,10.91,63.1,2.68,9456.49,21.4,True
m lacava,vizela,M. Lacava,Vizela,Portugal B,EE,Extremo,Explosivo e rápido,31.57,31.57,18.43,87.11,3.96,8810.33,,True
matheus dario,felgueiras,Matheus Dario,Felgueiras 1932,Portugal B,ZE,Zaga,Baixa intensidade,27.72,27.72,4.88,34.21,0.67,8855.37,,False
o moscarelli,manta,O. Moscarelli,Manta,Equador A,ZE,Zaga,Baixa intensidade,29.14,29.14,5.05,35.14,0.62,8417.41,4.6,False
d moreno,once caldas,D. Moreno,Once Caldas,Colombia A,CA,Atacante,Baixa intensidade,27.98,27.98,7.38,46.56,1.16,8060.95,31.2,False
j cardona,once caldas,J. Cardona,Once Caldas,Colombia A,ZD,Zaga,Baixa intensidade,28.15,28.15,4.69,34.05,0.45,8438.55,2.9,False
j altamirano,universidad de chile,J. Altamirano,Universidad de Chile,Chile,MED,Meia,Explosivo e rápido,28.0,28.0,9.47,73.31,1.17,10544.17,45.1,False
pedro castro,,Pedro Castro,CRB,Série B,MED,Meia,Médio em tudo,27.68,27.68,6.7,55.42,0.3,10980.06,32.83,True
j mena,aguilas doradas,J. Mena,Águilas Doradas,Colombia A,LE,Lateral,Explosivo e rápido,31.23,31.23,14.53,72.91,2.65,9082.18,24.1,True
l sanchez,tolima,L. Sánchez,Tolima,Colombia A,MEI,Meia,Médio em tudo,28.28,28.28,6.59,49.74,0.86,9649.91,49.5,True
j balanta,fortaleza,J. Balanta,Fortaleza,Colombia A,ZE,Zaga,Explosivo e rápido,30.84,30.84,7.38,42.04,1.57,8355.72,3.6,False
k lomonaco,independiente,K. Lomónaco,Independiente,Argentina A,ZD,Zaga,Motor de volume,28.22,28.22,6.92,42.82,0.54,8930.88,3.7,True
e gimenez,rosario central,E. Giménez,Rosario Central,Argentina A,LD,Lateral,Explosivo e rápido,29.28,29.28,17.33,92.33,1.85,10482.1,34.0,True
s solari,racing club,S. Solari,Racing Club,Argentina A,ED,Extremo,Explosivo e rápido,29.49,29.49,19.09,94.59,2.38,9587.66,30.8,True
s driussi,river plate,S. Driussi,River Plate,Argentina A,CA,Atacante,Motor de volume,28.01,28.01,10.85,71.02,2.42,9870.92,32.5,True
j insaurralde,sarmiento,J. Insaurralde,Sarmiento,Argentina A,ZE,Zaga,Baixa intensidade,27.5,27.5,3.74,28.77,0.44,8333.74,4.5,False
m castano,tecnico universitario,M. Castaño,Técnico Universitario,Equador A,MED,Meia,Baixa intensidade,26.18,26.18,3.26,32.77,0.22,9590.25,29.7,False
n da silva,palestino,N. Da Silva,Palestino,Chile,CA,Atacante,Explosivo e rápido,29.26,29.26,12.06,65.84,1.94,8821.93,19.9,False
g rios,independiente rivadavia,G. Ríos,Independiente Rivadavia,Argentina A,MED,Meia,Médio em tudo,27.69,27.69,8.83,63.19,0.69,10265.22,27.5,True
e serje,deportivo pasto,E. Serje,Deportivo Pasto,Colombia A,ZD,Zaga,Motor de volume,28.11,28.11,6.43,45.92,0.72,9198.91,11.1,True
c vivas,inter bogota,C. Vivas,Inter Bogotá,Colombia A,ZD,Zaga,Motor de volume,29.52,29.52,4.77,33.12,1.42,8648.13,7.6,True
j figueroa,alianza,J. Figueroa,Alianza,Colombia A,ZD,Zaga,Motor de volume,29.41,29.41,6.5,37.58,1.3,8211.07,7.8,True
lucas ribeiro,,Lucas Ribeiro,Goiás,Série B,ZE,Zaga,Motor de volume,30.05,30.05,5.42,36.21,1.27,8935.82,6.89,True
a salazar,deportivo garcilaso,A. Salazar,Deportivo Garcilaso,Peru,ZD,Zaga,Baixa intensidade,28.13,28.13,5.5,35.96,1.21,7853.92,5.5,False
